
--------------------------------------------------------------
*** Find vaccines that have not been applied to any user ***
Code	Vaccinename	Type
31	ZyCoV-D	RNA_vaccines_and_DNA_vaccines
51	Janssen	Adenovirus_vector_vaccines
71	Sputnik Light	Adenovirus_vector_vaccines
81	Convidecia	Adenovirus_vector_vaccines
91	Sinopharm BIBP	Inactivated_virus_vaccines
111	Covaxin	Inactivated_virus_vaccines
121	Sinopharm WIBP	Inactivated_virus_vaccines
131	Abdala	Subunit_vaccines
141	ZF2001	Subunit_vaccines
151	EpiVacCorona	Subunit_vaccines
161	Novavax	Subunit_vaccines
181	Turkovac	Inactivated_virus_vaccines

--------------------------------------------------------------
